object_type,table_name,tag_code,tag_name,tag_value_type,tag_level,calc_logic,source_table,refresh_cycle
vehicle_day,tdm_vehicle_day_profile,peak_activity_flag,高峰活跃标记,boolean,vehicle_day,peak_trip_ratio >= 0.39,tdm_vehicle_day_profile.parquet,batch_once_for_homework
vehicle_5d,tdm_vehicle_5d_profile,active_day_cnt,活跃天数,integer,vehicle_5d,count(distinct stat_date),tdm_trip_profile.parquet,batch_once_for_homework
vehicle_5d,tdm_vehicle_5d_profile,total_trip_cnt,五天总出行次数,integer,vehicle_5d,五天 trip 数,tdm_trip_profile.parquet,batch_once_for_homework
vehicle_5d,tdm_vehicle_5d_profile,avg_daily_trip_cnt,日均出行次数,double,vehicle_5d,total_trip_cnt / active_day_cnt,tdm_vehicle_5d_profile.parquet,batch_once_for_homework
vehicle_5d,tdm_vehicle_5d_profile,total_distance_km,五天总里程,double,vehicle_5d,五天 trip_distance_km 求和,tdm_trip_profile.parquet,batch_once_for_homework
vehicle_5d,tdm_vehicle_5d_profile,total_duration_min,五天总时长分钟数,double,vehicle_5d,五天 trip_duration_min 求和,tdm_trip_profile.parquet,batch_once_for_homework
vehicle_5d,tdm_vehicle_5d_profile,avg_trip_distance_km,五天平均单次里程,double,vehicle_5d,total_distance_km / total_trip_cnt,tdm_trip_profile.parquet,batch_once_for_homework
vehicle_5d,tdm_vehicle_5d_profile,avg_speed_kmh,五天综合平均速度,double,vehicle_5d,total_distance_km / (total_duration_min / 60.0),tdm_trip_profile.parquet,batch_once_for_homework
vehicle_5d,tdm_vehicle_5d_profile,night_trip_ratio_5d,五天夜间出行占比,double,vehicle_5d,五天夜间 trip 数 / total_trip_cnt,tdm_trip_profile.parquet,batch_once_for_homework
vehicle_5d,tdm_vehicle_5d_profile,peak_trip_ratio_5d,五天高峰出行占比,double,vehicle_5d,五天高峰 trip 数 / total_trip_cnt,tdm_trip_profile.parquet,batch_once_for_homework
vehicle_5d,tdm_vehicle_5d_profile,road_coverage_cnt_5d,五天覆盖路段数,integer,vehicle_5d,valid matched segments 上五天 count(distinct road_id),matched_segments_clean.parquet;tdm_trip_profile.parquet,batch_once_for_homework
vehicle_5d,tdm_vehicle_5d_profile,dominant_time_period_5d,五天主导时段,string,vehicle_5d,五天累计 trip 数最多的 time_period_type，并按字典序做并列打破,tdm_trip_profile.parquet,batch_once_for_homework
vehicle_5d,tdm_vehicle_5d_profile,driver_activity_level,司机活跃度分层,string,vehicle_5d,按阈值 65、84、116 划分 low、medium、high、core,tdm_vehicle_5d_profile.parquet,batch_once_for_homework
vehicle_5d,tdm_vehicle_5d_profile,core_driver_flag,核心司机标记,boolean,vehicle_5d,total_trip_cnt >= 116,tdm_vehicle_5d_profile.parquet,batch_once_for_homework
vehicle_5d,tdm_vehicle_5d_profile,full_attendance_flag,满勤标记,boolean,vehicle_5d,active_day_cnt = 5,tdm_vehicle_5d_profile.parquet,batch_once_for_homework
vehicle_road_preference_5d,tdm_vehicle_road_preference_5d,rank_in_device,设备内道路排名,integer,vehicle_road_preference_5d,"按 pass_cnt desc, road_id asc 排名",matched_segments_clean.parquet;tdm_trip_profile.parquet,batch_once_for_homework
vehicle_road_preference_5d,tdm_vehicle_road_preference_5d,pass_cnt,通行次数,integer,vehicle_road_preference_5d,五天 valid matched segments 上 count(*),matched_segments_clean.parquet;tdm_trip_profile.parquet,batch_once_for_homework
vehicle_road_preference_5d,tdm_vehicle_road_preference_5d,pass_ratio,通行占比,double,vehicle_road_preference_5d,pass_cnt / 设备五天有效 segment 总数,matched_segments_clean.parquet;tdm_trip_profile.parquet,batch_once_for_homework
vehicle_road_preference_5d,tdm_vehicle_road_preference_5d,active_day_cnt_on_road,道路活跃天数,integer,vehicle_road_preference_5d,count(distinct stat_date),matched_segments_clean.parquet;tdm_trip_profile.parquet,batch_once_for_homework
vehicle_road_preference_5d,tdm_vehicle_road_preference_5d,preference_level,道路偏好级别,string,vehicle_road_preference_5d,rank 1-3 为 core_route，4-10 为 frequent_route,tdm_vehicle_road_preference_5d.parquet,batch_once_for_homework
road_day,tdm_road_day_profile,pass_cnt,路段通行次数,integer,road_day,road_id + stat_date 上 valid matched segments count(*),matched_segments_clean.parquet;tdm_trip_profile.parquet,batch_once_for_homework
road_day,tdm_road_day_profile,vehicle_cnt,路段通行车辆数,integer,road_day,road_id + stat_date 上 count(distinct devid),matched_segments_clean.parquet;tdm_trip_profile.parquet,batch_once_for_homework
road_day,tdm_road_day_profile,trip_cnt,路段涉及行程数,integer,road_day,road_id + stat_date 上 count(distinct trip_id),matched_segments_clean.parquet;tdm_trip_profile.parquet,batch_once_for_homework
road_day,tdm_road_day_profile,morning_peak_pass_cnt,早高峰通行次数,integer,road_day,morning_peak_trip_flag = true 的 valid matched segments 数,matched_segments_clean.parquet;tdm_trip_profile.parquet,batch_once_for_homework
road_day,tdm_road_day_profile,evening_peak_pass_cnt,晚高峰通行次数,integer,road_day,evening_peak_trip_flag = true 的 valid matched segments 数,matched_segments_clean.parquet;tdm_trip_profile.parquet,batch_once_for_homework
road_day,tdm_road_day_profile,night_pass_cnt,夜间通行次数,integer,road_day,night_trip_flag = true 的 valid matched segments 数,matched_segments_clean.parquet;tdm_trip_profile.parquet,batch_once_for_homework
road_day,tdm_road_day_profile,peak_pass_ratio,高峰通行占比,double,road_day,(morning_peak_pass_cnt + evening_peak_pass_cnt) / pass_cnt,tdm_road_day_profile.parquet,batch_once_for_homework
road_day,tdm_road_day_profile,forward_edge_cnt,正向边数量,integer,road_day,road_id + stat_date 上 valid route edges 中 forward 数量,route_edges_clean.parquet;tdm_trip_profile.parquet,batch_once_for_homework
road_day,tdm_road_day_profile,backward_edge_cnt,反向边数量,integer,road_day,road_id + stat_date 上 valid route edges 中 backward 数量,route_edges_clean.parquet;tdm_trip_profile.parquet,batch_once_for_homework
road_day,tdm_road_day_profile,forward_ratio,正向边占比,double,road_day,forward_edge_cnt / (forward_edge_cnt + backward_edge_cnt),tdm_road_day_profile.parquet,batch_once_for_homework
road_day,tdm_road_day_profile,direction_bias,方向偏向类型,string,road_day,forward_ratio >= 0.80 为 mainly_forward，<= 0.20 为 mainly_backward，否则 balanced,tdm_road_day_profile.parquet,batch_once_for_homework
road_day,tdm_road_day_profile,road_activity_level,路段活跃度分层,string,road_day,按 pass_cnt 阈值 13、91、454 划分 long_tail、normal、active、hot,tdm_road_day_profile.parquet,batch_once_for_homework
road_day,tdm_road_day_profile,peak_bias_type,时段偏向类型,string,road_day,比较 morning_peak、evening_peak、night、offpeak 的 pass 数并按指定优先级选最大,tdm_road_day_profile.parquet,batch_once_for_homework
time_slot_day,tdm_time_slot_day_profile,time_range_id,时间范围标识,string,time_slot_day,YYYY-MM-DD_HH,tdm_time_slot_day_profile.parquet,batch_once_for_homework
time_slot_day,tdm_time_slot_day_profile,time_period_type,小时所属时段类型,string,time_slot_day,按 biz_hour 映射为 night、morning_peak、evening_peak、daytime、shoulder,tdm_time_slot_day_profile.parquet,batch_once_for_homework
time_slot_day,tdm_time_slot_day_profile,trip_cnt,小时行程数,integer,time_slot_day,stat_date + biz_hour 上 trip 数,tdm_trip_profile.parquet,batch_once_for_homework
time_slot_day,tdm_time_slot_day_profile,matched_trip_cnt,小时有匹配行程数,integer,time_slot_day,stat_date + biz_hour 上 has_matched_segments = true 的 trip 数,tdm_trip_profile.parquet,batch_once_for_homework
time_slot_day,tdm_time_slot_day_profile,vehicle_cnt,小时活跃车辆数,integer,time_slot_day,stat_date + biz_hour 上 count(distinct devid),tdm_trip_profile.parquet,batch_once_for_homework
time_slot_day,tdm_time_slot_day_profile,total_distance_km,小时总里程,double,time_slot_day,stat_date + biz_hour 上 trip_distance_km 求和,tdm_trip_profile.parquet,batch_once_for_homework
time_slot_day,tdm_time_slot_day_profile,total_duration_min,小时总时长分钟数,double,time_slot_day,stat_date + biz_hour 上 trip_duration_min 求和,tdm_trip_profile.parquet,batch_once_for_homework
time_slot_day,tdm_time_slot_day_profile,avg_trip_distance_km,小时平均单次里程,double,time_slot_day,total_distance_km / trip_cnt,tdm_time_slot_day_profile.parquet,batch_once_for_homework
time_slot_day,tdm_time_slot_day_profile,avg_trip_duration_min,小时平均单次时长,double,time_slot_day,total_duration_min / trip_cnt,tdm_time_slot_day_profile.parquet,batch_once_for_homework
time_slot_day,tdm_time_slot_day_profile,avg_speed_kmh,小时综合平均速度,double,time_slot_day,total_distance_km / (total_duration_min / 60.0),tdm_time_slot_day_profile.parquet,batch_once_for_homework
time_slot_day,tdm_time_slot_day_profile,road_coverage_cnt,小时覆盖路段数,integer,time_slot_day,stat_date + biz_hour 上 valid matched segments 的 distinct road_id 数,matched_segments_clean.parquet;tdm_trip_profile.parquet,batch_once_for_homework
time_slot_day,tdm_time_slot_day_profile,slot_activity_level,小时活跃度分层,string,time_slot_day,按 trip_cnt 阈值 5936、9612、15022 划分 low、medium、high、hot,tdm_time_slot_day_profile.parquet,batch_once_for_homework
region_grid_day,tdm_region_grid_day_profile,grid_center_lon,网格中心经度,double,region_grid_day,grid_x = floor(lon / 0.01)，中心经度为 (grid_x + 0.5) * 0.01,gps_points_clean.parquet,batch_once_for_homework
region_grid_day,tdm_region_grid_day_profile,grid_center_lat,网格中心纬度,double,region_grid_day,grid_y = floor(lat / 0.01)，中心纬度为 (grid_y + 0.5) * 0.01,gps_points_clean.parquet,batch_once_for_homework
region_grid_day,tdm_region_grid_day_profile,pickup_trip_cnt,上车次数,integer,region_grid_day,pickup 端落在该网格的 trip 数,gps_points_clean.parquet;tdm_trip_profile.parquet,batch_once_for_homework
region_grid_day,tdm_region_grid_day_profile,dropoff_trip_cnt,下车次数,integer,region_grid_day,dropoff 端落在该网格的 trip 数,gps_points_clean.parquet;tdm_trip_profile.parquet,batch_once_for_homework
region_grid_day,tdm_region_grid_day_profile,total_od_trip_cnt,OD 总次数,integer,region_grid_day,pickup_trip_cnt + dropoff_trip_cnt,tdm_region_grid_day_profile.parquet,batch_once_for_homework
region_grid_day,tdm_region_grid_day_profile,active_vehicle_cnt,活跃车辆数,integer,region_grid_day,网格 OD 事件上的 distinct devid 数,gps_points_clean.parquet;tdm_trip_profile.parquet,batch_once_for_homework
region_grid_day,tdm_region_grid_day_profile,night_od_trip_cnt,夜间 OD 次数,integer,region_grid_day,night_trip_flag = true 的 pickup/dropoff 事件数,gps_points_clean.parquet;tdm_trip_profile.parquet,batch_once_for_homework
region_grid_day,tdm_region_grid_day_profile,peak_od_trip_cnt,高峰 OD 次数,integer,region_grid_day,peak_trip_flag = true 的 pickup/dropoff 事件数,gps_points_clean.parquet;tdm_trip_profile.parquet,batch_once_for_homework
region_grid_day,tdm_region_grid_day_profile,pickup_ratio,上车占比,double,region_grid_day,pickup_trip_cnt / total_od_trip_cnt,tdm_region_grid_day_profile.parquet,batch_once_for_homework
region_grid_day,tdm_region_grid_day_profile,grid_role_bias,网格角色偏向,string,region_grid_day,pickup_ratio >= 0.60 为 pickup_dominant，<= 0.40 为 dropoff_dominant，否则 balanced,tdm_region_grid_day_profile.parquet,batch_once_for_homework
region_grid_day,tdm_region_grid_day_profile,grid_activity_level,网格活跃度分层,string,region_grid_day,按 total_od_trip_cnt 阈值 26、171、1127 划分 long_tail、normal、active、hotspot,tdm_region_grid_day_profile.parquet,batch_once_for_homework
